"","thres","Sample.Size","snr","test","power"
"1",0.05,20,0.03,200,0.13
"2",0.05,120,0.03,1200,0.493
"3",0.05,220,0.03,2200,0.671
"4",0.05,320,0.04,3200,0.819
"5",0.05,420,0.04,4200,0.912
"6",0.05,520,0.03,5200,0.953
"7",0.05,620,0.03,6200,0.986
"8",0.05,720,0.03,7200,0.991
"9",0.05,820,0.03,8200,0.997
"10",0.05,920,0.03,9200,0.997
"11",0.05,1020,0.03,10200,0.998
"12",0.05,1120,0.03,11200,1
"13",0.05,1220,0.03,12200,1
"14",0.05,1320,0.03,13200,1
"15",0.05,1420,0.03,14200,1
"16",0.05,1520,0.04,15200,1
"17",0.05,1620,0.03,16200,1
"18",0.05,1720,0.03,17200,1
"19",0.05,1820,0.03,18200,1
"20",0.05,1920,0.04,19200,1
"21",0.05,2020,0.03,20200,1
"22",0.05,2120,0.04,21200,1
"23",0.05,2220,0.03,22200,1
